Location in Stile,Type of video,Location of video
Stile Science/Science news lessons/The changing coronavirus,Upload,https://stileapp.com/uploads/au/T20210315-8176dd4eff2d1d7c43d6a765f53e815ab6821485aac7a0b3687f9c/Stile_COVID-19_lesson_interview__2021-03-01_at_13_03_GMT-8_-Untitl.mp4?response-content-disposition=attachment;%20filename=%22Stile_COVID-19_lesson_interview__2021-03-01_at_13_03_GMT-8_-Untitl.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=fSfuB0k5pYA18F7tPEI%2BckWPRp8%3D
Stile Science/Science news lessons/The 2020 Nobel Prize for the discovery of CRISPR,YouTube,https://youtube.com/watch?v=Fb8Izn1xkG8
Stile Science/Science news lessons/The influence of social media,Upload,https://stileapp.com/uploads/au/T20200925-ebc6da6f5ed20f2058b1d7eb3b4ca75f8922247bc60019872eb05b/Is_Facebook_Allowed_To_Manipulate_Your_Emotions_.mp4?response-content-disposition=attachment;%20filename=%22Is_Facebook_Allowed_To_Manipulate_Your_Emotions_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626822000&Signature=Z3X%2FwV4Tm8%2BiZRijcny8weEJBn8%3D
Stile Science/Science news lessons/The influence of social media,Upload,https://stileapp.com/uploads/au/T20200925-83baa40776889b7e6a3e3af7c84f831e47d436de38de2b1b29388b/social_media_video.mp4?response-content-disposition=attachment;%20filename=%22social_media_video.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626822000&Signature=ZAMaWngezGVY%2BFvMgQtZ35xB%2F5w%3D
Stile Science/Science news lessons/Using AI to identify wild animals,Upload,https://stileapp.com/uploads/au/T20200806-52fb36f1c7b9a9208e141833acc1edc6c00828a2646461cbfd7200/Can_AI_Help_Us_Identify_Animals_.mp4?response-content-disposition=attachment;%20filename=%22Can_AI_Help_Us_Identify_Animals_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626818400&Signature=N%2BgQTvhOKVh0AcoGtSmuV7wGeh8%3D
Stile Science/Science news lessons/Using AI to identify wild animals,Upload,https://stileapp.com/uploads/au/T20200806-ed7d0fd8c687924e52f4d3d4757b147d7e451813e7f114821241b1/Snapshot_Serengeti__Margaret_Kosmala.mp4?response-content-disposition=attachment;%20filename=%22Snapshot_Serengeti__Margaret_Kosmala.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626818400&Signature=uXD9oycp0qYmnJyj8Og9T4HFH%2F8%3D
Stile Science/Science news lessons/Why are bees disappearing?,Upload,https://stileapp.com/uploads/au/T20200715-47f081214d780e8763f88062610b1e204ec9d3a353e7a3852a2f4d/AdobeStock_339307959.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_339307959.mov%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=zcKQOmHr1hnH%2B5M2RqO82wrWcEo%3D
Stile Science/Science news lessons/Why are bees disappearing?,YouTube,https://youtube.com/watch?v=rKQNx0av7eY
Stile Science/Science news lessons/Slowing the spread of COVID-19,Upload,https://stileapp.com/uploads/au/T20200320-5f0f4fa1be6b8ed2d1c19a8bc380342c4f9af830c1febb47ea6f4f/Why_fighting_the_coronavirus_depends_on_you.mp4?response-content-disposition=attachment;%20filename=%22Why_fighting_the_coronavirus_depends_on_you.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626793200&Signature=kSQp%2Bya%2B2rn5HesbOWiGSEapXwE%3D
Stile Science/Science news lessons/Slowing the spread of COVID-19,Upload,https://stileapp.com/uploads/au/T20200320-5f0f4fa1be6b8ed2d1c19a8bc380342c4f9af830c1febb47ea6f4f/Why_fighting_the_coronavirus_depends_on_you.mp4?response-content-disposition=attachment;%20filename=%22Why_fighting_the_coronavirus_depends_on_you.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626793200&Signature=kSQp%2Bya%2B2rn5HesbOWiGSEapXwE%3D
Stile Science/Science news lessons/Slowing the spread of COVID-19,Upload,https://stileapp.com/uploads/au/T20200320-8709c4b27edb7ef7d71e05506a1f56cb6c20c410172bc55a615d80/How_to_wash_your_hands_NHS.mp4?response-content-disposition=attachment;%20filename=%22How_to_wash_your_hands_NHS.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626793200&Signature=pksxEBgWxIDDf4F8miMM0KY4evY%3D
Stile Science/Science news lessons/Slowing the spread of COVID-19,Upload,https://stileapp.com/uploads/au/T20200320-36c5500b91a3477d335c2121a0b84bf77dcd8f14833bf99f28c3a9/How_soap_kills_the_coronavirus.mp4?response-content-disposition=attachment;%20filename=%22How_soap_kills_the_coronavirus.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626793200&Signature=V4Z5Q6%2BE9ncosbvJ2m5ovJ0m5EA%3D
Stile Science/Science news lessons/The new coronavirus,Upload,https://stileapp.com/uploads/au/T20200320-607d5c3a3f9b0f5094d98c7da4b573f4fc298efb438fe15d771ae4/Coronavirus_edit_2.mp4?response-content-disposition=attachment;%20filename=%22Coronavirus_edit_2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=gsLwlTvgxOH8MC92pA4XmHF9yx4%3D
Stile Science/Science news lessons/The new coronavirus,Upload,https://stileapp.com/uploads/au/T20200210-1d10fbf38ede8fd3e0c6fec8d6d3c99a15dcb052afc7cf56e8a0ab/y2mate.com_-_coronavirus_outbreak_fact_vs_fiction_vDBy_zOk4i8_1080p.mp4?response-content-disposition=attachment;%20filename=%22y2mate.com_-_coronavirus_outbreak_fact_vs_fiction_vDBy_zOk4i8_1080p.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626796800&Signature=%2BCFM9mleDzyyYp9c0Lee%2FOx2vHw%3D
Stile Science/Science news lessons/The Australian bushfires,Upload,https://stileapp.com/uploads/au/T20200121-77a647965e3422eeb2f758e137c74a78148181878d9eb65d38187a/Bushfires_in_Australia_What_ignited_the_deadly_crisis.mp4?response-content-disposition=attachment;%20filename=%22Bushfires_in_Australia_What_ignited_the_deadly_crisis.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=XJJusfmuF0xAFYmO8ye9ctEJYmU%3D
Stile Science/Science news lessons/The Australian bushfires,Upload,https://stileapp.com/uploads/au/T20200121-b5eaaeaf727ee5db34a868d42dff1a483cca6a26d244374d565f03/Climate_Change_Basics_-_EPA.mp4?response-content-disposition=attachment;%20filename=%22Climate_Change_Basics_-_EPA.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=vxFTnoOTolCWULuneuv8Kc%2FFGMs%3D
Stile Science/Science news lessons/The evolution of puppy dog eyes,Upload,https://stileapp.com/uploads/au/T20191008-8ceae4bc3a12572cd70bb5e3c798160546f0ecf7829283987e6525/There_s_A_Scientific_Reason_Why_We_Love_Dogs_So_Mu.mp4?response-content-disposition=attachment;%20filename=%22There_s_A_Scientific_Reason_Why_We_Love_Dogs_So_Mu.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=CpDf%2FIobv7E%2BxDpGOeW2%2BFkhoKI%3D
Stile Science/Science news lessons/The evolution of puppy dog eyes,Upload,https://stileapp.com/uploads/au/T20191008-832d8c6786a79657a0f0245bec4a0ab6ce5b23d294d3ec3721bed1/What_is_Evolution.mp4?response-content-disposition=attachment;%20filename=%22What_is_Evolution.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=zzp8C6bm6RBTSs76uqFhqstTIDk%3D
Stile Science/Science news lessons/Fire in the Amazon,Upload,https://stileapp.com/uploads/au/T20190907-ef3a38c5e101eb139ff9e0e65881609082e15c959df2ba77ea4bc2/Amazon_Fires_3.mp4?response-content-disposition=attachment;%20filename=%22Amazon_Fires_3.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=QqBxUIBHIN%2FOykfO9%2BOJD0a3uv8%3D
Stile Science/Science news lessons/Fire in the Amazon,Upload,https://stileapp.com/uploads/au/T20190909-f9ed03780f319ef71bc6d26f32ec80c806633e4ff0afc8f2406d16/Amazon_forest_fire_What_it_tells_us_about_deforest.mp4?response-content-disposition=attachment;%20filename=%22Amazon_forest_fire_What_it_tells_us_about_deforest.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626786000&Signature=OZZz6w8XTvFAvh0iDlb5ItreiAE%3D
Stile Science/Science news lessons/The first image of a black hole,YouTube,https://youtube.com/watch?v=qpYcCI9uzKo
Stile Science/Science news lessons/The scoop on wombats' cube-shaped poo,YouTube,https://youtube.com/watch?v=z1tKJRi739Q
Stile Science/Science news lessons/The biggest ocean clean-up ever,YouTube,https://youtube.com/watch?v=ArYLGNe-jCA
Stile Science/Science news lessons/The biggest ocean clean-up ever,YouTube,https://youtube.com/watch?v=hdZxYQmu8kE
"Stile Science/Science news lessons/NASA set to ""touch"" the Sun",YouTube,https://youtube.com/watch?v=i_z19KPvV1w
"Stile Science/Science news lessons/NASA set to ""touch"" the Sun",YouTube,https://youtube.com/watch?v=t-kzdR93bqw
Stile Science/Science news lessons/Underground lake discovered on Mars,YouTube,https://youtube.com/watch?v=vJkYBhSqet8
Stile Science/Science news lessons/Virtual reality to help during medical procedures,Upload,https://stileapp.com/uploads/au/T20200525-a38f7811f98e9b6dc131f922b3058c95b266579d27af262e3885cb/New_videogame_system_makes_needle_procedures__virtually__painless.mp4?response-content-disposition=attachment;%20filename=%22New_videogame_system_makes_needle_procedures__virtually__painless.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626757200&Signature=IynqY9xdQzTU6umP7%2B25qMQcCEA%3D
Stile Science/Science news lessons/Virtual reality to help during medical procedures,Upload,https://stileapp.com/uploads/au/T20180622-24db8ab583d9d9eade459960f5c1c965a0a54a662f36e168a6c028/Virtual_Reality.mp4?response-content-disposition=attachment;%20filename=%22Virtual_Reality.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626757200&Signature=ItsAfDqNsdiwRlKx8ipd0BQ6jfM%3D
Stile Science/Science news lessons/Virtual reality to help during medical procedures,YouTube,https://youtube.com/watch?v=lJype_TafRk
Stile Science/Science news lessons/Virtual reality to help during medical procedures,YouTube,https://youtube.com/watch?v=0HzMDBOxZaI
Stile Science/Science news lessons/Virtual reality to help during medical procedures,YouTube,https://youtube.com/watch?v=B2kXtJNGA8I
Stile Science/Science news lessons/Virtual reality to help during medical procedures,YouTube,https://youtube.com/watch?v=0ytyMKa8aps
Stile Science/Science news lessons/A new plastic-eating enzyme,YouTube,https://youtube.com/watch?v=US65qTsjpFI
Stile Science/Science news lessons/A new plastic-eating enzyme,YouTube,https://youtube.com/watch?v=_6xlNyWPpB8
Stile Science/Science news lessons/Yanny or Laurel?,YouTube,https://youtube.com/watch?v=USHPhoXwQJM
Stile Science/Science news lessons/Yanny or Laurel?,YouTube,https://youtube.com/watch?v=sWZas8E4350
Stile Science/Science news lessons/Yanny or Laurel?,Upload,https://stileapp.com/publicUploads/au/1fa6e5963a8ce4b72415fc5446599f18a0e16928cb40e6bfb47ef834b63f58ca/20Hz_to_20kHz__Human_Audio_Spectrum_.mp4?recache=true
Stile Science/Skill builders/2.1 Skill builder: Controlled variables and controls,Upload,https://stileapp.com/uploads/au/T20201014-31c3fe3c0a90d3801c0e938201cd040ba8957900a7985f9d86dc74/GMO_foods_Why_it_s__meaningless__to_label_genetically-modified_organisms_Trim.mp4?response-content-disposition=attachment;%20filename=%22GMO_foods_Why_it_s__meaningless__to_label_genetically-modified_organisms_Trim.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=bswOY%2B5%2Bx6BvtuXCya9yg44ETck%3D
Stile Science/Skill builders/2.2 Application: Controlled variables and controls,Upload,https://stileapp.com/uploads/au/T20201014-164dbc7c69e0dcf1b5641750e597c5f338b0305e07a01fd97669e3/How_to_predict_spread_of_a_bushfire_with_a__Pyrotron_.mp4?response-content-disposition=attachment;%20filename=%22How_to_predict_spread_of_a_bushfire_with_a__Pyrotron_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=aNosqIWirW5rGqsk%2Bn2B1Mvydjs%3D
Stile Science/Skill builders/3.2 Skill builder: Minimizing random errors,Upload,https://stileapp.com/uploads/au/T20201203-f335419a9ec91110b1d53e8d85041a881c89774e9d9a4947307cc5/Timing_system_for_swimming.mp4?response-content-disposition=attachment;%20filename=%22Timing_system_for_swimming.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626742800&Signature=Fx3AkUWuqkFfBptQ2O%2Bb7RuNr9E%3D
Stile Science/Skill builders/3.2 Skill builder: Minimizing random errors,Upload,https://stileapp.com/uploads/au/T20201203-72ae27686dba0f7db3c655f7a0d4e9d273e547864908544dacf884/Random_and_Systematic_Errors__Human_Reaction_Time__part_1_of_2__--_xmdemo_109.mp4?response-content-disposition=attachment;%20filename=%22Random_and_Systematic_Errors__Human_Reaction_Time__part_1_of_2__--_xmdemo_109.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626742800&Signature=XO4mDfF37CeuYSffvD2yYehc0ks%3D
Stile Science/Skill builders/3.2 Skill builder: Minimizing random errors,Upload,https://stileapp.com/uploads/au/T20201122-4c314daebf70862c9421f5e67760d3b5c86b6ea12343a379080059/AdobeStock_362062829.mov?response-content-disposition=attachment;%20filename=%22AdobeStock_362062829.mov%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626742800&Signature=vdr5UfCohp0aoQo7MlzKqFko9nA%3D
Stile Science/Skill builders/3.3 Skill builder: Minimizing systematic errors,Upload,https://stileapp.com/uploads/au/T20201204-b700b186d9e023474f308c0d18369953ec7f7a05d89caae84a5d57/Bias_v2.2.mp4?response-content-disposition=attachment;%20filename=%22Bias_v2.2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=apSjhIDdI3aRtDe7VQjaJtjvtzc%3D
"Stile Science/Skill builders/4.2 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191024-47cc0457038e3ae361f2ac1f342a3352d51d54cb242077191d47f3/Pacers__Myles_Turner_Talks_Yoga_Benefits_for_Athletes_The_Players__Tribune.mp4?response-content-disposition=attachment;%20filename=%22Pacers__Myles_Turner_Talks_Yoga_Benefits_for_Athletes_The_Players__Tribune.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=R5hzJnkS3m89QKKIKGv7IgLDykI%3D
"Stile Science/Skill builders/4.2 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191024-48ff8efbc0a4a93edcfdfa874b942382c877cfe25b2b9f44ff08c6/Pranayama.mp4?response-content-disposition=attachment;%20filename=%22Pranayama.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=ZkuGSkueXJEMl1VwodPA4jeS8hU%3D
"Stile Science/Skill builders/4.2 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191027-7198c284e264109e3b7b893b3c4a29e16b6fe763bd981d27c5e85f/Video_1___Introduction.mp4?response-content-disposition=attachment;%20filename=%22Video_1___Introduction.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=fdm7uvmr7joEu%2BR2Z75xgprNzQg%3D
"Stile Science/Skill builders/4.2 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191025-d12f6cacb28ab39f6b0dc6c2906c75896566aa5b15f0c1fd605d8b/Video_2___Mean_v2.mp4?response-content-disposition=attachment;%20filename=%22Video_2___Mean_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=U6x%2FEo4%2BG9iDMFEH%2BtdBxX4iVcs%3D
"Stile Science/Skill builders/4.2 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191025-6c4e0d9a138fe61a3f863f60120ab30b5cfadce6beac93bc91287e/Video_3_-_Median_v2.1.mp4?response-content-disposition=attachment;%20filename=%22Video_3_-_Median_v2.1.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=yDAk5vwhRLghkr2PeEWqlqsfthk%3D
"Stile Science/Skill builders/4.2 Skill builder: Calculating mean, median and mode",Upload,https://stileapp.com/uploads/au/T20191025-51b03571d2e147ea737ab459778191e8a45473d73891a6a4c97349/Video_4_-_Mode_v5.mp4?response-content-disposition=attachment;%20filename=%22Video_4_-_Mode_v5.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=YV4AVPGBJyUQv8849cQbOQFJQ6o%3D
Stile Science/Skill builders/4.4 Skill builder: Selecting data in spreadsheets to evaluate claims,Upload,https://stileapp.com/uploads/au/T20200604-ec671b24814d64cf85fb825ae9220b0df72aa0c7996909a09e4d1e/Why_has_vaping_become_so_widespread_in_NZ.mp4?response-content-disposition=attachment;%20filename=%22Why_has_vaping_become_so_widespread_in_NZ.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=WXWdYJABsLBKCjgmFt5yE2pRX0Y%3D
Stile Science/Skill builders/4.4 Skill builder: Selecting data in spreadsheets to evaluate claims,Upload,https://stileapp.com/uploads/au/T20200624-ad3cf97943976dd9400e9d8050a2c9be361239857acfedb0ae4aa8/Real_California_teens_talk_about_vaping.webm?response-content-disposition=attachment;%20filename=%22Real_California_teens_talk_about_vaping.webm%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=ED6treOVPSVi29bgq2uJpue2wio%3D
Stile Science/Skill builders/4.4 Skill builder: Selecting data in spreadsheets to evaluate claims,Upload,https://stileapp.com/uploads/au/T20200624-49df6e6c7de3529a1a05d0c38dc4f516909badc6559f838fbe3711/New_Zealand_data_set_scroll_through_2.mp4?response-content-disposition=attachment;%20filename=%22New_Zealand_data_set_scroll_through_2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=SoTIWRk1yXf4puevBxQLbNh4OIc%3D
Stile Science/Skill builders/4.4 Skill builder: Selecting data in spreadsheets to evaluate claims,Upload,https://stileapp.com/uploads/au/T20201014-67457b6095d245aa7a131daff3b98bb45fe372a76ba9fe28afab40/Understanding_spreadsheet_layouts_v2.mp4?response-content-disposition=attachment;%20filename=%22Understanding_spreadsheet_layouts_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=T%2FBVr33yK%2BUnQOoPn%2FmbhfaOMZg%3D
Stile Science/Skill builders/4.4 Skill builder: Selecting data in spreadsheets to evaluate claims,Upload,https://stileapp.com/uploads/au/T20201014-8583e9d29f19d434d265b66eafcd8dd5811ae11293156653dfcfcb/Filtering_v2.mp4?response-content-disposition=attachment;%20filename=%22Filtering_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=8Vo6zGsIMFDXF6TDJQigGqjSWuw%3D
Stile Science/Skill builders/4.5 Skill builder: Examining trends in data using spreadsheets,Upload,https://stileapp.com/uploads/au/T20200624-969642c571397c6bfddd6ec13136d4f75b1bfd764c43bad71e991b/Smoke_and_Mirrors_Big_Tobacco_targets_Ma_ori_with_e-cigarettes_.mp4?response-content-disposition=attachment;%20filename=%22Smoke_and_Mirrors_Big_Tobacco_targets_Ma_ori_with_e-cigarettes_.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=Z3FBdKhYd%2Bpm7AfeTo9v3uoMXvc%3D
Stile Science/Skill builders/4.5 Skill builder: Examining trends in data using spreadsheets,Upload,https://stileapp.com/uploads/au/T20200624-49df6e6c7de3529a1a05d0c38dc4f516909badc6559f838fbe3711/New_Zealand_data_set_scroll_through_2.mp4?response-content-disposition=attachment;%20filename=%22New_Zealand_data_set_scroll_through_2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=SoTIWRk1yXf4puevBxQLbNh4OIc%3D
Stile Science/Skill builders/4.5 Skill builder: Examining trends in data using spreadsheets,Upload,https://stileapp.com/uploads/au/T20201014-9f5822c0efeb53a1c4f1b89aff9e8a84c7dce340d069589c6fc84c/Sorting_v2.mp4?response-content-disposition=attachment;%20filename=%22Sorting_v2.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=zlQsozJgTM3rVYklEBzVDn8z9S4%3D
Stile Science/Skill builders/4.5 Skill builder: Examining trends in data using spreadsheets,Upload,https://stileapp.com/uploads/au/T20201014-725c3fc49a7d3de0320286895726d3f3102f452d7e23dbb9472114/Graphing_1_-_column_charts.mp4?response-content-disposition=attachment;%20filename=%22Graphing_1_-_column_charts.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=9vYMqV5W6BNLMzqc67L78L25MZw%3D
Stile Science/Skill builders/4.5 Skill builder: Examining trends in data using spreadsheets,Upload,https://stileapp.com/uploads/au/T20201014-c712ae4a0e63e60edd26abbbf9893c10b0f92174395d164fea6378/Graphing_2_-_Scatterplot.mp4?response-content-disposition=attachment;%20filename=%22Graphing_2_-_Scatterplot.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGHVZ5OCIA&Expires=1626789600&Signature=LK0DUCEfJU1ViWKOmQ4RXl3ped8%3D
Stile Science/Skill builders/5.1 Skill builder: Reading line graphs,Upload,https://stileapp.com/uploads/au/T20200108-d34ca2eb0562dd33213621ad71606238910e2de470f2b913b72bc6/Skill_builder_1_1.mp4?response-content-disposition=attachment;%20filename=%22Skill_builder_1_1.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626782400&Signature=DrnXKHBM0yoy8zIMrnbSsqr9r6I%3D
Stile Science/Skill builders/5.2 Skill builder: Calculating percentage changes,Upload,https://stileapp.com/uploads/au/T20200304-b972680fa90cbccd1531bc4984b433622cc4a4563efcb8d7d816c8/Skill_builder_2_v3.1.mp4?response-content-disposition=attachment;%20filename=%22Skill_builder_2_v3.1.mp4%22&AWSAccessKeyId=AKIA2QKKJOUGJ6SJRN44&Expires=1626786000&Signature=NfRr7FzL0gz8tU%2BBRxMVgCPtQ20%3D
